filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
data/processed\speech\english\LibriSpeech\train-clean-100\8063\274112\8063-274112-0006.wav,-209.68172,113.85912,16.234068,40.83124,16.278126,22.246729,-12.09324,2.8892765,-1.7330089,-2.164287,6.3635826,4.423171,6.628514,speech
data/processed\speech\english\LibriSpeech\train-clean-100\2007\132570\2007-132570-0056.wav,-300.51096,49.409874,-17.707449,33.12166,-12.863335,0.9592541,-4.700724,-2.665545,-1.3079188,-7.2229447,5.901841,-0.16041791,5.1794643,speech
data/processed\speech\english\LibriSpeech\train-clean-100\4859\22176\4859-22176-0012.wav,-191.61984,34.8568,-8.439691,45.054123,-2.0771794,1.2532614,-21.132,2.509792,-0.86888784,3.709614,10.571049,1.6215543,0.2016692,speech
data/processed\speech\english\LibriSpeech\train-clean-100\8098\275181\8098-275181-0002.wav,-269.26657,110.43158,14.43991,43.850914,13.678013,-5.6552277,-10.47957,-12.204529,-7.857544,-1.2050198,-13.00659,-0.9415664,-1.6125107,speech
data/processed\speech\english\LibriSpeech\train-clean-100\8014\280382\8014-280382-0008.wav,-280.1183,118.91194,28.217014,6.493257,-6.1803293,-8.164821,-9.061569,-18.383213,5.4290495,4.226109,-12.360037,-5.4705806,11.505984,speech
data/processed\speech\english\LibriSpeech\train-clean-100\8468\295198\8468-295198-0033.wav,-282.46854,101.91594,-13.598668,6.8158617,-0.6540418,3.6354895,-0.4432386,-7.129062,-7.1820955,-9.69308,-2.8979673,-3.4919345,-11.086787,speech
data/processed\speech\english\LibriSpeech\train-clean-100\211\122442\211-122442-0038.wav,-213.28929,58.61002,-5.6307364,13.51769,-8.406769,-6.4542336,0.088049136,1.01669,8.190887,3.2740896,-6.2126145,1.7439044,2.242835,speech
data/processed\speech\english\LibriSpeech\train-clean-100\5750\100289\5750-100289-0048.wav,-196.2311,106.871284,-1.6552479,50.73888,9.49049,-4.981732,-3.1465087,-13.438323,-5.7383437,-2.5379813,-11.223306,0.7085583,-7.698364,speech
data/processed\speech\english\LibriSpeech\train-clean-100\2002\139469\2002-139469-0097.wav,-248.88835,111.42916,15.594811,9.072218,-2.7450473,3.263713,-16.843481,-6.4914055,-1.8074205,-10.333752,-9.201677,-5.9799347,-0.80771875,speech
data/processed\speech\english\LibriSpeech\train-clean-100\3259\158083\3259-158083-0045.wav,-225.56218,88.05495,-29.623314,27.964714,-15.039483,-0.89690065,-9.543294,-14.613626,-6.5957675,-6.5982037,0.09388829,-5.3379393,0.506859,speech
data/processed\speech\english\LibriSpeech\train-clean-100\322\124146\322-124146-0018.wav,-213.7733,55.00613,4.590247,22.93168,13.51369,10.57514,0.014901383,0.26307106,0.8951569,2.8868482,-3.5435615,0.5110995,-0.259911,speech
data/processed\speech\english\LibriSpeech\train-clean-100\1116\137572\1116-137572-0031.wav,-265.67484,26.64721,-23.723104,57.598843,-26.672722,8.282528,-9.0113,-9.970452,8.391117,-9.668287,4.1616087,-6.1097364,2.7107332,speech
data/processed\speech\english\LibriSpeech\train-clean-100\6437\66173\6437-66173-0055.wav,-253.48338,109.587944,30.044916,13.086541,4.243088,-7.88817,-20.125584,-6.905197,-9.38827,3.7196717,-8.935083,4.4187713,-2.2510953,speech
data/processed\speech\english\LibriSpeech\train-clean-100\6078\54013\6078-54013-0070.wav,-201.64716,95.06229,-23.346697,16.799791,-20.274889,1.1919079,-4.465664,-11.038928,-9.645547,-13.520303,-1.0903442,-6.402411,2.5973551,speech
data/processed\speech\english\LibriSpeech\train-clean-100\1624\142933\1624-142933-0023.wav,-221.75374,55.920128,8.687689,14.720179,-3.5287952,-5.379126,-10.540581,-2.9576516,-17.370028,-3.0314212,-11.244085,-8.631693,-10.399269,speech
data/processed\speech\english\LibriSpeech\train-clean-100\7067\76047\7067-76047-0041.wav,-200.16484,78.07722,15.673302,23.738716,-6.0796185,-3.0245965,1.4566181,-19.893553,-1.3631274,0.72410125,-12.395223,-5.027741,-1.8646694,speech
data/processed\speech\english\LibriSpeech\train-clean-100\5390\24512\5390-24512-0023.wav,-223.74966,115.81141,-19.220509,44.300053,7.3991623,13.088202,0.042599633,-16.044342,-11.715808,-6.942618,-4.066713,1.0067781,-3.8192172,speech
data/processed\speech\english\LibriSpeech\train-clean-100\3947\13260\3947-13260-0040.wav,-262.68347,100.51575,20.08655,47.413174,6.1717873,-4.832201,-3.4218607,4.915013,5.064256,-3.8017616,-0.35885778,-1.9025778,10.504777,speech
data/processed\speech\english\LibriSpeech\train-clean-100\19\198\19-198-0014.wav,-133.53345,81.58342,-16.974861,21.807756,-16.171698,-16.407972,-29.086119,-17.461258,-5.2174997,7.4715986,2.704185,1.9451517,-1.1919495,speech
data/processed\speech\english\LibriSpeech\train-clean-100\6367\74004\6367-74004-0035.wav,-174.72348,87.34342,1.850797,35.978344,-3.6550605,5.743723,-12.472199,-14.46632,-12.659146,4.979809,-5.126768,-8.042855,5.627906,speech
data/processed\speech\english\LibriSpeech\train-clean-100\6454\107462\6454-107462-0019.wav,-245.50533,137.02446,-19.033772,27.275652,9.020483,-7.4653935,-1.826001,-1.6248668,-15.533477,3.8462968,-5.610814,-8.01101,0.122407705,speech
data/processed\speech\english\LibriSpeech\dev-clean\3752\4944\3752-4944-0060.wav,-250.34642,75.32111,21.772755,38.852234,0.30336553,2.3222518,-5.3168826,2.5980604,-4.5515256,-5.7078047,-1.1334918,-4.6990848,-3.4274714,speech
data/processed\speech\english\LibriSpeech\train-clean-100\3486\166446\3486-166446-0038.wav,-128.328,76.35299,-8.996402,35.32045,-7.0866275,-6.282602,-30.042631,-18.64719,-7.8257337,-7.5248613,-4.8209386,-5.7481685,-2.5267231,speech
data/processed\speech\english\LibriSpeech\train-clean-100\7302\86815\7302-86815-0061.wav,-210.62207,74.57,20.010193,18.708092,8.979847,-7.217049,10.739132,-7.6623573,-1.8758627,-5.8045382,-3.5188081,1.5968969,-0.22241074,speech
data/processed\speech\english\LibriSpeech\train-clean-100\125\121342\125-121342-0000.wav,-161.31125,29.645372,3.6765,14.262501,-7.6551094,6.079507,-9.840293,7.886617,1.1056633,3.1513298,-4.2497926,-1.5644293,-2.38886,speech
data/processed\speech\english\LibriSpeech\train-clean-100\233\134440\233-134440-0037.wav,-201.06444,109.98733,14.468136,30.367039,12.99196,9.449953,-2.6532521,7.9912996,-5.9293923,4.5168076,2.0308378,-2.5143123,9.834644,speech
data/processed\speech\english\LibriSpeech\train-clean-100\374\180298\374-180298-0019.wav,-220.91548,85.08322,-20.130316,26.602648,-4.1309996,-11.905143,-14.834196,-7.1811037,-12.874242,0.61103773,-10.66549,-4.211241,-4.9841785,speech
